high_risk_countries;tax_havens
Democratic People's Republic of Korea;Vietnam
Iran;Angola
Myanmar;Bolivia
Bulgaria;United Arab Emirates
Burkina Faso;Algeria
Cameroon;Puerto Rico
Croatia;St. Kitts and Nevis
Democratic Republic of Congo;Antigua and Barbuda
Haiti;Curacao
Jamaica;Vanuatu
Kenya;
Mali;
Mozambique;
Namibia;
Nigeria;
Philippines;
Senegal;
South Africa;
South Sudan;
Syria;
Tanzania;
Türkiye;
Vietnam;
Yemen;
